Class,Lines,Lines,Lines,Lines,Average,Average,Average,Maximum,Ratio,LCOM,DIT,IFANIN,CBO,NOC,RFC,NIM,NIV,WMC
cl::Buffer,170,19,86,37,11,0,2,7,0.43%,0,2,1,2,2,27,8,0,8
cl::BufferGL,74,7,44,23,5,0,1,2,0.52%,0,3,1,1,0,34,7,0,7
cl::BufferRenderGL,74,7,44,23,5,0,1,2,0.52%,0,3,1,2,0,34,7,0,7
cl::CommandQueue,1035,93,618,13,19,0,3,10,0.02%,97,1,1,11,0,45,33,0,34
cl::Context,268,32,190,44,15,0,2,7,0.23%,92,1,1,5,0,24,12,0,13
cl::detail::KernelFunctorGlobal,100,6,94,0,30,0,1,1,0.00%,0,0,0,6,0,3,3,1,3
cl::detail::NullType,1,0,1,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0
cl::detail::Wrapper,57,12,45,0,3,0,1,3,0.00%,0,0,0,1,0,10,10,1,10
cl::detail::Wrapper,91,14,77,0,5,0,1,3,0.00%,22,0,0,1,9,11,10,2,11
cl::Device,155,12,58,31,6,0,1,4,0.53%,0,1,1,2,0,19,7,0,8
cl::Error,40,3,20,17,3,0,1,2,0.85%,50,1,1,0,0,5,4,2,4
cl::Event,139,12,72,36,5,0,1,2,0.50%,0,1,1,2,0,23,11,0,12
cl::Image,64,6,39,19,4,0,1,2,0.49%,0,2,1,1,2,26,7,0,7
cl::Image2D,108,8,42,23,13,0,1,3,0.55%,0,3,1,2,1,32,6,0,6
cl::Image2DGL,69,7,40,22,6,0,1,2,0.55%,0,4,1,1,0,38,6,0,6
cl::Image3D,113,8,45,23,13,0,1,3,0.51%,0,3,1,2,1,32,6,0,6
cl::Image3DGL,68,6,40,22,6,0,1,2,0.55%,0,4,1,1,0,38,6,0,6
cl::Kernel,149,16,87,25,6,0,1,2,0.29%,0,1,1,4,0,24,13,0,13
cl::Memory,101,10,39,26,4,0,1,2,0.67%,0,1,1,1,2,19,8,0,8
cl::NDRange,47,6,32,9,4,0,1,1,0.28%,16,0,0,1,0,6,6,2,6
cl::Platform,272,28,125,36,11,0,2,5,0.29%,0,1,1,2,0,23,8,0,12
cl::Program,401,59,269,21,16,0,2,8,0.08%,0,1,1,6,0,29,18,0,18
cl::Sampler,97,9,58,30,5,0,1,2,0.52%,0,1,1,2,0,20,9,0,9
cl::size_t,30,5,22,3,3,0,1,2,0.14%,0,0,0,0,0,5,5,1,5
CSHA1,252,41,184,19,19,0,3,8,0.10%,82,0,0,2,0,10,10,8,10
CudaCMAPTorsionForceInfo,29,0,29,0,6,0,1,1,0.00%,0,1,1,2,0,9,4,1,4
CudaCustomAngleForceInfo,29,0,29,0,6,0,1,3,0.00%,0,1,1,2,0,9,4,1,4
CudaCustomBondForceInfo,28,0,28,0,5,0,1,3,0.00%,0,1,1,2,0,9,4,1,4
CudaCustomCentroidBondForceInfo,42,0,42,0,9,0,2,7,0.00%,0,1,1,2,0,9,4,1,4
CudaCustomCompoundBondForceInfo,24,0,24,0,4,0,1,3,0.00%,0,1,1,2,0,9,4,1,4
CudaCustomExternalForceInfo,31,0,31,0,12,0,3,5,0.00%,0,1,1,2,0,7,2,2,2
CudaCustomGBForceInfo,30,0,30,0,5,0,1,3,0.00%,19,1,1,2,0,10,5,1,5
CudaCustomHbondForceInfo,75,0,75,0,14,0,3,11,0.00%,19,1,1,2,0,10,5,1,5
CudaCustomManyParticleForceInfo,32,0,32,0,5,0,1,4,0.00%,19,1,1,2,0,10,5,1,5
CudaCustomNonbondedForceInfo,44,0,44,0,7,0,2,5,0.00%,40,1,1,2,0,10,5,2,5
CudaCustomTorsionForceInfo,30,0,30,0,6,0,1,3,0.00%,0,1,1,2,0,9,4,1,4
CudaDrudeForceInfo,57,0,57,0,13,0,2,5,0.00%,0,1,1,2,0,9,4,1,4
CudaGBSAOBCForceInfo,13,0,13,0,4,0,1,1,0.00%,0,1,1,1,0,7,2,1,2
CudaHarmonicAngleForceInfo,26,0,26,0,5,0,1,1,0.00%,0,1,1,2,0,9,4,1,4
CudaHarmonicBondForceInfo,25,0,25,0,5,0,1,1,0.00%,0,1,1,2,0,9,4,1,4
CudaNonbondedForceInfo,31,0,31,0,5,0,1,1,0.00%,0,1,1,2,0,10,5,1,5
CudaPeriodicTorsionForceInfo,27,0,27,0,5,0,1,1,0.00%,0,1,1,2,0,9,4,1,4
CudaRBTorsionForceInfo,27,0,27,0,5,0,1,1,0.00%,0,1,1,2,0,9,4,1,4
ExampleFunction,22,0,22,0,5,0,2,5,0.00%,0,1,1,0,0,9,4,0,4
ExtractMatrixTask,32,2,29,1,10,0,3,6,0.03%,0,1,1,2,0,3,2,10,2
fvec4,86,1,85,0,2,0,1,1,0.00%,3,0,0,1,0,26,26,1,26
fvec4,76,1,75,0,2,0,1,1,0.00%,7,0,0,0,0,26,26,1,26
fvec4,93,2,90,2,3,0,1,5,0.02%,3,0,0,1,0,26,26,1,26
fvec8,77,1,76,0,2,0,1,1,0.00%,3,0,0,1,0,27,27,1,27
IO,11,0,11,0,3,0,1,1,0.00%,50,1,1,1,0,4,2,2,2
irr::core::array,416,110,219,97,8,0,1,5,0.44%,66,0,0,0,0,30,30,7,30
irr::core::string,626,156,377,95,10,0,2,6,0.25%,42,0,0,0,0,41,41,3,41
irr::io::CFileReadCallBack,60,11,42,7,6,0,1,2,0.17%,33,1,1,0,0,9,6,3,6
irr::io::CXMLReaderImpl,791,171,519,123,18,1,3,11,0.24%,86,2,1,3,0,52,35,12,35
irr::io::IFileReadCallBack,16,3,7,6,1,0,1,1,0.86%,0,0,0,0,2,3,3,0,3
irr::io::IIrrXMLReader,93,17,21,55,1,0,1,1,2.62%,0,1,1,0,1,17,17,0,17
irr::io::IXMLBase,3,0,3,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0
ivec4,74,1,73,0,2,0,1,1,0.00%,4,0,0,0,0,24,24,1,24
ivec4,70,1,69,0,2,0,1,1,0.00%,12,0,0,0,0,24,24,1,24
ivec4,82,2,80,1,3,0,1,5,0.01%,4,0,0,1,0,24,24,1,24
ivec8,32,1,31,0,2,0,1,1,0.00%,8,0,0,1,0,12,12,1,12
JAMA::Cholesky,159,26,102,8,24,1,4,8,0.08%,33,0,0,2,0,6,6,2,6
JAMA::Eigenvalue,953,151,670,141,84,7,14,70,0.21%,62,0,0,2,0,10,10,9,10
JAMA::LU,288,67,173,48,21,1,5,12,0.28%,50,0,0,2,0,10,10,5,10
JAMA::QR,284,49,178,62,28,2,7,13,0.35%,17,0,0,2,0,7,7,4,7
JAMA::SVD,496,68,380,50,57,5,12,88,0.13%,52,0,0,2,0,8,8,5,8
Lepton::CompiledExpression,153,6,117,17,11,0,2,8,0.15%,75,0,0,5,0,13,13,9,13
Lepton::CustomFunction,28,0,9,19,2,0,1,1,2.11%,0,0,0,0,14,5,5,0,5
Lepton::Exception,12,0,12,0,2,0,1,1,0.00%,33,1,1,0,0,4,3,1,3
Lepton::ExpressionProgram,95,0,75,20,5,0,1,4,0.27%,54,0,0,5,0,11,11,3,11
Lepton::ExpressionTreeNode,110,0,76,34,4,0,2,7,0.45%,38,0,0,3,0,13,13,2,13
Lepton::Operation,1320,2,1278,40,2,0,1,1,0.03%,0,0,0,5,40,11,11,0,11
Lepton::Operation::Abs,28,0,28,0,3,0,1,1,0.00%,0,1,1,6,0,18,7,0,7
Lepton::Operation::Acos,31,0,31,0,3,0,1,1,0.00%,0,1,1,9,0,18,7,0,7
Lepton::Operation::Add,30,0,30,0,2,0,1,1,0.00%,0,1,1,2,0,20,9,0,9
Lepton::Operation::AddConstant,35,0,35,0,3,0,1,1,0.00%,33,1,1,2,0,20,9,1,9
Lepton::Operation::Asin,30,0,30,0,3,0,1,1,0.00%,0,1,1,8,0,18,7,0,7
Lepton::Operation::Atan,28,0,28,0,3,0,1,1,0.00%,0,1,1,6,0,18,7,0,7
Lepton::Operation::Ceil,24,0,24,0,2,0,1,1,0.00%,0,1,1,3,0,18,7,0,7
Lepton::Operation::Constant,35,0,35,0,3,0,1,1,0.00%,33,1,1,2,0,20,9,1,9
Lepton::Operation::Cos,27,0,27,0,3,0,1,1,0.00%,0,1,1,5,0,18,7,0,7
Lepton::Operation::Cosh,27,0,27,0,3,0,1,1,0.00%,0,1,1,4,0,18,7,0,7
Lepton::Operation::Cot,28,0,28,0,3,0,1,1,0.00%,0,1,1,6,0,18,7,0,7
Lepton::Operation::Csc,29,0,29,0,3,0,1,1,0.00%,0,1,1,5,0,18,7,0,7
Lepton::Operation::Cube,27,0,27,0,3,0,1,1,0.00%,0,1,1,5,0,18,7,0,7
Lepton::Operation::Custom,55,0,55,0,4,0,1,3,0.00%,47,1,1,6,0,22,11,4,11
Lepton::Operation::Delta,24,0,24,0,2,0,1,2,0.00%,0,1,1,3,0,18,7,0,7
Lepton::Operation::Divide,31,0,31,0,3,0,1,1,0.00%,0,1,1,5,0,19,8,0,8
Lepton::Operation::Erf,31,0,31,0,3,0,1,1,0.00%,0,1,1,7,0,19,8,0,8
Lepton::Operation::Erfc,31,0,31,0,3,0,1,1,0.00%,0,1,1,7,0,19,8,0,8
Lepton::Operation::Exp,26,0,26,0,3,0,1,1,0.00%,0,1,1,3,0,18,7,0,7
Lepton::Operation::Floor,25,1,24,0,2,0,1,1,0.00%,0,1,1,3,0,18,7,0,7
Lepton::Operation::Log,26,0,26,0,3,0,1,1,0.00%,0,1,1,4,0,18,7,0,7
Lepton::Operation::Max,30,0,29,1,3,0,1,1,0.03%,0,1,1,6,0,18,7,0,7
Lepton::Operation::Min,30,0,29,1,3,0,1,1,0.03%,0,1,1,6,0,18,7,0,7
Lepton::Operation::Multiply,32,0,32,0,3,0,1,1,0.00%,0,1,1,3,0,20,9,0,9
Lepton::Operation::MultiplyConstant,36,0,36,0,3,0,1,1,0.00%,22,1,1,2,0,20,9,1,9
Lepton::Operation::Negate,24,0,24,0,2,0,1,1,0.00%,0,1,1,2,0,18,7,0,7
Lepton::Operation::Power,38,0,38,0,4,0,1,1,0.00%,0,1,1,6,0,19,8,0,8
Lepton::Operation::PowerConstant,65,1,63,1,5,0,1,5,0.02%,63,1,1,4,0,21,10,3,10
Lepton::Operation::Reciprocal,28,0,28,0,3,0,1,1,0.00%,0,1,1,5,0,18,7,0,7
Lepton::Operation::Sec,28,0,28,0,3,0,1,1,0.00%,0,1,1,4,0,18,7,0,7
Lepton::Operation::Select,28,0,28,0,3,0,1,2,0.00%,0,1,1,2,0,18,7,0,7
Lepton::Operation::Sin,26,0,26,0,3,0,1,1,0.00%,0,1,1,4,0,18,7,0,7
Lepton::Operation::Sinh,27,0,27,0,3,0,1,1,0.00%,0,1,1,4,0,18,7,0,7
Lepton::Operation::Sqrt,28,0,28,0,3,0,1,1,0.00%,0,1,1,5,0,18,7,0,7
Lepton::Operation::Square,27,0,27,0,3,0,1,1,0.00%,0,1,1,4,0,18,7,0,7
Lepton::Operation::Step,24,0,24,0,2,0,1,2,0.00%,0,1,1,3,0,18,7,0,7
Lepton::Operation::Subtract,27,0,27,0,2,0,1,1,0.00%,0,1,1,2,0,19,8,0,8
Lepton::Operation::Tan,27,0,27,0,3,0,1,1,0.00%,0,1,1,5,0,18,7,0,7
Lepton::Operation::Tanh,29,0,29,0,3,0,1,1,0.00%,0,1,1,6,0,18,7,0,7
Lepton::Operation::Variable,35,0,35,0,3,0,1,2,0.00%,25,1,1,5,0,19,8,1,8
Lepton::ParsedExpression,339,1,286,106,14,3,5,63,0.37%,88,0,0,22,0,26,19,1,26
Lepton::Parser,355,19,316,20,41,1,11,32,0.06%,0,0,0,46,0,15,7,0,15
Lepton::ParseToken,16,1,15,0,2,0,1,1,0.00%,33,0,0,0,0,3,3,2,3
OpenCLCMAPTorsionForceInfo,29,0,29,0,6,0,1,1,0.00%,0,1,1,2,0,11,4,1,4
OpenCLCustomAngleForceInfo,29,0,29,0,6,0,1,3,0.00%,0,1,1,2,0,11,4,1,4
OpenCLCustomBondForceInfo,28,0,28,0,5,0,1,3,0.00%,0,1,1,2,0,11,4,1,4
OpenCLCustomCentroidBondForceInfo,42,0,42,0,9,0,2,7,0.00%,0,1,1,2,0,11,4,1,4
OpenCLCustomCompoundBondForceInfo,24,0,24,0,4,0,1,3,0.00%,0,1,1,2,0,11,4,1,4
OpenCLCustomExternalForceInfo,31,0,31,0,12,0,3,5,0.00%,0,1,1,2,0,9,2,2,2
OpenCLCustomGBForceInfo,30,0,30,0,5,0,1,3,0.00%,19,1,1,2,0,12,5,1,5
OpenCLCustomHbondForceInfo,75,0,75,0,14,0,3,11,0.00%,19,1,1,2,0,12,5,1,5
OpenCLCustomManyParticleForceInfo,32,0,32,0,5,0,1,4,0.00%,19,1,1,2,0,12,5,1,5
OpenCLCustomNonbondedForceInfo,44,0,44,0,7,0,2,5,0.00%,40,1,1,2,0,12,5,2,5
OpenCLCustomTorsionForceInfo,30,0,30,0,6,0,1,3,0.00%,0,1,1,2,0,11,4,1,4
OpenCLDrudeForceInfo,57,0,57,0,13,0,2,5,0.00%,0,1,1,2,0,11,4,1,4
OpenCLGBSAOBCForceInfo,13,0,13,0,4,0,1,1,0.00%,0,1,1,1,0,9,2,1,2
OpenCLHarmonicAngleForceInfo,26,0,26,0,5,0,1,1,0.00%,0,1,1,2,0,11,4,1,4
OpenCLHarmonicBondForceInfo,25,0,25,0,5,0,1,1,0.00%,0,1,1,2,0,11,4,1,4
OpenCLNonbondedForceInfo,31,0,31,0,5,0,1,1,0.00%,0,1,1,2,0,12,5,1,5
OpenCLPeriodicTorsionForceInfo,27,0,27,0,5,0,1,1,0.00%,0,1,1,2,0,11,4,1,4
OpenCLRBTorsionForceInfo,27,0,27,0,5,0,1,1,0.00%,0,1,1,2,0,11,4,1,4
OpenMM::AlignedArray,57,0,39,18,4,0,1,3,0.46%,55,0,0,0,0,9,9,3,9
OpenMM::AmoebaAngleForce,198,14,93,91,3,0,1,1,0.98%,80,1,1,3,0,25,16,5,16
OpenMM::AmoebaAngleForce::AngleInfo,12,0,12,0,3,0,1,1,0.00%,0,0,0,0,0,2,2,5,2
OpenMM::AmoebaAngleForceImpl,42,0,41,2,3,0,1,2,0.05%,50,1,1,7,0,17,9,2,9
OpenMM::AmoebaAngleForceProxy,52,4,48,0,15,0,2,5,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::AmoebaBondForce,152,11,73,68,3,0,1,1,0.93%,69,1,1,4,0,21,12,3,12
OpenMM::AmoebaBondForce::BondInfo,12,0,12,0,3,0,1,1,0.00%,0,0,0,0,0,2,2,4,2
OpenMM::AmoebaBondForceImpl,53,1,51,2,3,0,1,2,0.04%,50,1,1,8,0,18,10,2,10
OpenMM::AmoebaBondForceProxy,46,2,44,0,13,0,2,5,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::AmoebaCudaKernelFactory,43,12,31,0,39,0,12,12,0.00%,0,1,1,28,0,3,1,0,1
OpenMM::AmoebaGeneralizedKirkwoodForce,184,17,91,76,3,0,1,1,0.84%,83,1,1,4,0,27,18,7,18
OpenMM::AmoebaGeneralizedKirkwoodForce::ParticleInfo,10,0,10,0,3,0,1,1,0.00%,0,0,0,0,0,2,2,3,2
OpenMM::AmoebaGeneralizedKirkwoodForceImpl,50,3,46,2,4,0,1,3,0.04%,44,1,1,9,0,17,9,2,9
OpenMM::AmoebaGeneralizedKirkwoodForceProxy,56,5,49,2,16,0,2,5,0.04%,0,1,1,4,0,17,3,0,3
OpenMM::AmoebaInPlaneAngleForce,206,14,98,94,3,0,1,1,0.96%,78,1,1,4,0,25,16,5,16
OpenMM::AmoebaInPlaneAngleForce::AngleInfo,13,0,13,0,4,0,1,1,0.00%,0,0,0,0,0,2,2,6,2
OpenMM::AmoebaInPlaneAngleForceImpl,42,0,41,2,3,0,1,2,0.05%,50,1,1,7,0,17,9,2,9
OpenMM::AmoebaInPlaneAngleForceProxy,52,4,48,0,15,0,2,5,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::AmoebaMultipoleForce,605,65,285,255,5,0,1,3,0.89%,91,1,1,5,0,44,35,13,35
OpenMM::AmoebaMultipoleForce::MultipoleInfo,43,9,34,0,15,0,1,1,0.00%,4,0,0,2,0,2,2,11,2
OpenMM::AmoebaMultipoleForceImpl,205,21,166,19,9,0,2,10,0.11%,77,1,1,11,0,25,14,2,17
OpenMM::AmoebaMultipoleForceProxy,164,26,131,7,52,2,5,10,0.05%,0,1,1,6,0,17,3,0,3
OpenMM::AmoebaOutOfPlaneBendForce,204,16,97,91,3,0,1,1,0.94%,78,1,1,4,0,25,16,5,16
OpenMM::AmoebaOutOfPlaneBendForce::OutOfPlaneBendInfo,14,1,13,0,4,0,1,1,0.00%,0,0,0,0,0,2,2,5,2
OpenMM::AmoebaOutOfPlaneBendForceImpl,42,0,41,2,3,0,1,2,0.05%,50,1,1,7,0,17,9,2,9
OpenMM::AmoebaOutOfPlaneBendForceProxy,50,2,48,0,14,0,2,5,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::AmoebaPiTorsionForce,124,6,61,57,4,0,1,1,0.93%,37,1,1,4,0,17,8,1,8
OpenMM::AmoebaPiTorsionForce::PiTorsionInfo,12,0,12,0,3,0,1,1,0.00%,0,0,0,0,0,2,2,7,2
OpenMM::AmoebaPiTorsionForceImpl,42,0,41,2,3,0,1,2,0.05%,50,1,1,7,0,17,9,2,9
OpenMM::AmoebaPiTorsionForceProxy,40,0,40,0,11,0,2,5,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::AmoebaReferenceAngleForce,252,38,141,73,29,1,2,5,0.52%,0,0,0,3,0,6,6,0,6
OpenMM::AmoebaReferenceBondForce,143,27,69,47,18,1,1,3,0.68%,0,0,0,3,0,5,5,0,5
OpenMM::AmoebaReferenceForce,266,81,76,109,13,3,1,2,1.43%,0,0,0,2,0,14,2,0,14
OpenMM::AmoebaReferenceGeneralizedKirkwoodForce,371,48,179,144,6,0,1,9,0.80%,88,0,0,1,0,25,25,12,25
OpenMM::AmoebaReferenceGeneralizedKirkwoodMultipoleForce,2853,455,2196,202,166,5,3,17,0.09%,88,1,1,5,0,112,24,20,24
OpenMM::AmoebaReferenceInPlaneAngleForce,322,60,180,82,43,2,3,11,0.46%,0,0,0,3,0,6,6,0,6
OpenMM::AmoebaReferenceKernelFactory,44,12,30,2,40,2,12,12,0.07%,0,1,1,27,0,3,1,0,1
OpenMM::AmoebaReferenceMultipoleForce,2962,363,1845,769,33,2,3,17,0.42%,95,0,0,8,2,88,88,30,88
OpenMM::AmoebaReferenceMultipoleForce::MultipoleParticleData,13,0,13,0,0,0,0,0,0.00%,0,0,0,1,0,0,0,10,0
OpenMM::AmoebaReferenceMultipoleForce::TransformedMultipole,6,0,6,0,0,0,0,0,0.00%,0,0,0,1,0,0,0,3,0
OpenMM::AmoebaReferenceOutOfPlaneBendForce,261,47,150,65,45,4,5,15,0.43%,0,0,0,3,0,5,5,0,5
OpenMM::AmoebaReferencePiTorsionForce,255,53,147,55,44,2,3,8,0.37%,0,0,0,3,0,5,5,0,5
OpenMM::AmoebaReferencePmeMultipoleForce,2323,280,1704,339,51,3,5,18,0.20%,89,1,1,9,0,143,55,19,55
OpenMM::AmoebaReferenceStretchBendForce,212,36,116,60,33,3,3,9,0.52%,0,0,0,3,0,5,5,0,5
OpenMM::AmoebaReferenceTorsionTorsionForce,643,130,344,169,58,5,4,14,0.49%,0,0,0,3,0,9,9,0,9
OpenMM::AmoebaReferenceVdwForce,634,114,321,199,14,1,1,8,0.62%,90,0,0,6,0,28,28,10,28
OpenMM::AmoebaReferenceWcaDispersionForce,395,74,267,54,78,1,6,19,0.20%,57,0,0,3,0,5,5,8,5
OpenMM::AmoebaStretchBendForce,137,6,71,60,5,0,1,1,0.85%,37,1,1,4,0,17,8,1,8
OpenMM::AmoebaStretchBendForce::StretchBendInfo,14,0,14,0,4,0,1,1,0.00%,0,0,0,0,0,2,2,8,2
OpenMM::AmoebaStretchBendForceImpl,42,0,41,2,3,0,1,2,0.05%,50,1,1,7,0,17,9,2,9
OpenMM::AmoebaStretchBendForceProxy,50,3,47,0,14,0,3,6,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::AmoebaTorsionTorsionForce,291,31,183,77,4,0,1,2,0.42%,55,1,1,5,0,19,10,2,10
OpenMM::AmoebaTorsionTorsionForce::TorsionTorsionGridInfo,130,20,104,6,19,1,5,25,0.06%,50,0,0,3,0,6,6,4,6
OpenMM::AmoebaTorsionTorsionForce::TorsionTorsionInfo,17,3,14,0,4,0,1,1,0.00%,0,0,0,0,0,2,2,7,2
OpenMM::AmoebaTorsionTorsionForceImpl,122,17,98,8,12,0,2,12,0.08%,61,1,1,9,0,17,8,2,9
OpenMM::AmoebaTorsionTorsionForceProxy,91,11,73,7,28,2,4,6,0.10%,0,1,1,5,0,17,3,0,3
OpenMM::AmoebaVdwForce,271,24,129,118,4,0,1,4,0.91%,83,1,1,4,0,29,20,8,20
OpenMM::AmoebaVdwForce::VdwInfo,14,0,14,0,4,0,1,1,0.00%,19,0,0,0,0,2,2,5,2
OpenMM::AmoebaVdwForceImpl,234,16,185,43,21,3,2,16,0.23%,55,1,1,12,0,18,9,2,10
OpenMM::AmoebaVdwForceProxy,73,11,61,1,22,0,3,6,0.02%,0,1,1,4,0,17,3,0,3
OpenMM::AmoebaWcaDispersionForce,183,9,129,45,3,0,1,1,0.35%,86,1,1,4,0,33,24,9,24
OpenMM::AmoebaWcaDispersionForce::WcaDispersionInfo,10,0,10,0,3,0,1,1,0.00%,0,0,0,0,0,2,2,2,2
OpenMM::AmoebaWcaDispersionForceImpl,133,14,103,17,9,0,1,4,0.17%,59,1,1,9,0,19,9,2,11
OpenMM::AmoebaWcaDispersionForceProxy,62,7,55,0,18,0,2,5,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::AndersenThermostat,101,0,45,56,3,0,1,1,1.24%,75,1,1,2,0,20,9,3,11
OpenMM::AndersenThermostatImpl,77,4,65,8,6,0,1,5,0.12%,66,1,1,8,0,17,7,2,9
OpenMM::AndersenThermostatProxy,32,0,32,0,8,0,2,4,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::ApplyAndersenThermostatKernel,21,0,10,11,2,0,1,1,1.10%,0,1,1,4,3,9,3,0,4
OpenMM::ApplyConstraintsKernel,28,0,11,17,2,0,1,1,1.55%,0,1,1,3,3,10,4,0,5
OpenMM::ApplyMonteCarloBarostatKernel,35,0,11,24,2,0,1,1,2.18%,0,1,1,4,3,10,4,0,5
OpenMM::BrownianIntegrator,131,0,67,64,4,0,1,3,0.96%,77,1,1,6,0,24,12,4,12
OpenMM::BrownianIntegratorProxy,28,1,27,0,7,0,1,2,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::CalcAmoebaAngleForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,4,2,10,4,0,5
OpenMM::CalcAmoebaBondForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,4,2,10,4,0,5
OpenMM::CalcAmoebaGeneralizedKirkwoodForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,4,2,10,4,0,5
OpenMM::CalcAmoebaInPlaneAngleForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,4,2,10,4,0,5
OpenMM::CalcAmoebaMultipoleForceKernel,53,9,16,28,2,0,1,1,1.75%,0,1,1,5,2,14,8,0,9
OpenMM::CalcAmoebaOutOfPlaneBendForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,4,2,10,4,0,5
OpenMM::CalcAmoebaPiTorsionForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,4,2,10,4,0,5
OpenMM::CalcAmoebaStretchBendForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,4,2,10,4,0,5
OpenMM::CalcAmoebaTorsionTorsionForceKernel,29,5,10,14,2,0,1,1,1.40%,0,1,1,4,2,9,3,0,4
OpenMM::CalcAmoebaVdwForceKernel,35,4,11,20,2,0,1,1,1.82%,0,1,1,4,2,10,4,0,5
OpenMM::CalcAmoebaWcaDispersionForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,4,2,10,4,0,5
OpenMM::CalcCMAPTorsionForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,5,10,4,0,5
OpenMM::CalcCustomAngleForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,5,10,4,0,5
OpenMM::CalcCustomBondForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,5,10,4,0,5
OpenMM::CalcCustomCentroidBondForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,3,10,4,0,5
OpenMM::CalcCustomCompoundBondForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,5,10,4,0,5
OpenMM::CalcCustomExternalForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,5,10,4,0,5
OpenMM::CalcCustomGBForceKernel,36,0,16,20,2,0,1,1,1.25%,0,1,1,4,4,10,4,0,5
OpenMM::CalcCustomHbondForceKernel,36,0,16,20,2,0,1,1,1.25%,0,1,1,4,5,10,4,0,5
OpenMM::CalcCustomManyParticleForceKernel,36,0,16,20,2,0,1,1,1.25%,0,1,1,4,4,10,4,0,5
OpenMM::CalcCustomNonbondedForceKernel,36,0,16,20,2,0,1,1,1.25%,0,1,1,4,6,10,4,0,5
OpenMM::CalcCustomTorsionForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,5,10,4,0,5
OpenMM::CalcDrudeForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,3,10,4,0,5
OpenMM::CalcForcesAndEnergyKernel,39,0,11,28,2,0,1,1,2.55%,0,1,1,3,6,10,4,0,5
OpenMM::CalcGBSAOBCForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,4,10,4,0,5
OpenMM::CalcHarmonicAngleForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,6,10,4,0,5
OpenMM::CalcHarmonicBondForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,5,10,4,0,5
OpenMM::CalcNonbondedForceKernel,49,0,19,30,2,0,1,1,1.58%,0,1,1,4,6,11,5,0,6
OpenMM::CalcPeriodicTorsionForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,6,10,4,0,5
